Survived,Pclass,Sex,Fare
Not Survived,3,male,7.25
Survived,1,female,71.2833
Survived,3,female,7.925
Survived,1,female,53.1
Not Survived,3,male,8.05
Not Survived,3,male,8.4583
Not Survived,1,male,51.8625
Not Survived,3,male,21.075
Survived,3,female,11.1333
Survived,2,female,30.0708
Survived,3,female,16.7
Survived,1,female,26.55
Not Survived,3,male,8.05
Not Survived,3,male,31.275
Not Survived,3,female,7.8542
Survived,2,female,16.0
Not Survived,3,male,29.125
Survived,2,male,13.0
Not Survived,3,female,18.0
Survived,3,female,7.225
Not Survived,2,male,26.0
Survived,2,male,13.0
Survived,3,female,8.0292
Survived,1,male,35.5
Not Survived,3,female,21.075
Survived,3,female,31.3875
Not Survived,3,male,7.225
Not Survived,1,male,263.0
Survived,3,female,7.8792
Not Survived,3,male,7.8958
Not Survived,1,male,27.7208
Survived,1,female,146.5208
Survived,3,female,7.75
Not Survived,2,male,10.5
Not Survived,1,male,82.1708
Not Survived,1,male,52.0
Survived,3,male,7.2292
Not Survived,3,male,8.05
Not Survived,3,female,18.0
Survived,3,female,11.2417
Not Survived,3,female,9.475
Not Survived,2,female,21.0
Not Survived,3,male,7.8958
Survived,2,female,41.5792
Survived,3,female,7.8792
Not Survived,3,male,8.05
Not Survived,3,male,15.5
Survived,3,female,7.75
Not Survived,3,male,21.6792
Not Survived,3,female,17.8
Not Survived,3,male,39.6875
Not Survived,3,male,7.8
Survived,1,female,76.7292
Survived,2,female,26.0
Not Survived,1,male,61.9792
Survived,1,male,35.5
Survived,2,female,10.5
Not Survived,3,male,7.2292
Survived,2,female,27.75
Not Survived,3,male,46.9
Not Survived,3,male,7.2292
Survived,1,female,80.0
Not Survived,1,male,83.475
Not Survived,3,male,27.9
Not Survived,1,male,27.7208
Survived,3,male,15.2458
Survived,2,female,10.5
Not Survived,3,male,8.1583
Survived,3,female,7.925
Not Survived,3,male,8.6625
Not Survived,2,male,10.5
Not Survived,3,female,46.9
Not Survived,2,male,73.5
Not Survived,3,male,14.4542
Survived,3,male,56.4958
Not Survived,3,male,7.65
Not Survived,3,male,7.8958
Not Survived,3,male,8.05
Survived,2,male,29.0
Survived,3,female,12.475
Not Survived,3,male,9.0
Survived,3,male,9.5
Survived,3,female,7.7875
Not Survived,1,male,47.1
Survived,2,female,10.5
Survived,3,female,15.85
Not Survived,3,male,34.375
Not Survived,3,male,8.05
Survived,1,female,263.0
Not Survived,3,male,8.05
Not Survived,3,male,8.05
Not Survived,3,male,7.8542
Not Survived,1,male,61.175
Not Survived,3,male,20.575
Not Survived,3,male,7.25
Not Survived,3,male,8.05
Not Survived,1,male,34.6542
Survived,1,male,63.3583
Survived,2,female,23.0
Not Survived,2,male,26.0
Not Survived,3,female,7.8958
Not Survived,3,male,7.8958
Not Survived,1,male,77.2875
Not Survived,3,male,8.6542
Not Survived,3,male,7.925
Not Survived,3,male,7.8958
Survived,3,female,7.65
Survived,3,male,7.775
Not Survived,3,male,7.8958
Survived,3,female,24.15
Not Survived,1,male,52.0
