@relation 'Titanic after processing'

@attribute Survived numeric
@attribute Pclass numeric
@attribute Sex {male,female}
@attribute Age numeric
@attribute Relatives numeric

@data
0,3,male,22,1
1,1,female,38,1
1,3,female,26,0
1,1,female,35,1
0,3,male,35,0
0,3,male,28,0
0,1,male,54,0
0,3,male,2,4
1,3,female,27,2
1,2,female,14,1
1,3,female,4,2
1,1,female,58,0
0,3,male,20,0
0,3,male,39,6
0,3,female,14,0
1,2,female,55,0
0,3,male,2,5
1,2,male,28,0
0,3,female,31,1
1,3,female,28,0
0,2,male,35,0
1,2,male,34,0
1,3,female,15,0
1,1,male,28,0
0,3,female,8,4
1,3,female,38,6
0,3,male,28,0
0,1,male,19,5
1,3,female,28,0
0,3,male,28,0
0,1,male,40,0
1,1,female,28,1
1,3,female,28,0
0,2,male,66,0
0,1,male,28,1
0,1,male,42,1
1,3,male,28,0
0,3,male,21,0
0,3,female,18,2
1,3,female,14,1
0,3,female,40,1
0,2,female,27,1
0,3,male,28,0
1,2,female,3,3
1,3,female,19,0
0,3,male,28,0
0,3,male,28,1
1,3,female,28,0
0,3,male,28,2
0,3,female,18,1
0,3,male,7,5
0,3,male,21,0
1,1,female,49,1
1,2,female,29,1
0,1,male,65,1
1,1,male,28,0
1,2,female,21,0
0,3,male,28.5,0
1,2,female,5,3
0,3,male,11,7
0,3,male,22,0
1,1,female,38,0
0,1,male,45,1
0,3,male,4,5
0,1,male,28,0
1,3,male,28,2
1,2,female,29,0
0,3,male,19,0
1,3,female,17,6
0,3,male,26,2
0,2,male,32,0
0,3,female,16,7
0,2,male,21,0
0,3,male,26,1
1,3,male,32,0
0,3,male,25,0
0,3,male,28,0
0,3,male,28,0
1,2,male,0.83,2
1,3,female,30,0
0,3,male,22,0
1,3,male,29,0
1,3,female,28,0
0,1,male,28,0
1,2,female,17,0
1,3,female,33,3
0,3,male,16,4
0,3,male,28,0
1,1,female,23,5
0,3,male,24,0
0,3,male,29,0
0,3,male,20,0
0,1,male,46,1
0,3,male,26,3
0,3,male,59,0
0,3,male,28,0
0,1,male,71,0
1,1,male,23,1
1,2,female,34,1
0,2,male,34,1
0,3,female,28,0
0,3,male,28,0
0,1,male,21,1
0,3,male,33,0
0,3,male,37,2
0,3,male,28,0
1,3,female,21,0
1,3,male,28,0
0,3,male,38,0
1,3,female,28,1
0,1,male,47,0
0,3,female,14.5,1
0,3,male,22,0
0,3,female,20,1
0,3,female,17,0
0,3,male,21,0
0,3,male,70.5,0
0,2,male,29,1
0,1,male,24,1
0,3,female,2,6
0,2,male,21,2
0,3,male,28,0
0,2,male,32.5,1
1,2,female,32.5,0
0,1,male,54,1
1,3,male,12,1
0,3,male,28,0
1,3,male,24,0
1,3,female,28,2
0,3,male,45,0
0,3,male,33,0
0,3,male,20,0
0,3,female,47,1
1,2,female,29,1
0,2,male,25,0
0,2,male,23,0
1,1,female,19,2
0,1,male,37,1
0,3,male,16,0
0,1,male,24,0
0,3,female,28,2
1,3,female,22,0
1,3,female,24,1
0,3,male,19,0
0,2,male,18,0
0,2,male,19,2
1,3,male,27,0
0,3,female,9,4
0,2,male,36.5,2
0,2,male,42,0
0,2,male,51,0
1,1,female,22,1
0,3,male,55.5,0
0,3,male,40.5,2
0,3,male,28,0
0,1,male,51,1
1,3,female,16,0
0,3,male,30,0
0,3,male,28,0
0,3,male,28,10
0,3,male,44,1
1,2,female,40,0
0,3,male,26,0
0,3,male,17,0
0,3,male,1,5
1,3,male,9,2
1,1,female,28,1
0,3,female,45,5
0,1,male,28,0
0,3,male,28,0
0,1,male,61,0
0,3,male,4,5
1,3,female,1,2
0,3,male,21,0
0,1,male,56,0
0,3,male,18,2
0,3,male,28,4
0,1,female,50,0
0,2,male,30,0
0,3,male,36,0
0,3,female,28,10
0,2,male,28,0
0,3,male,9,6
1,2,male,1,3
1,3,female,4,2
0,1,male,28,0
1,3,female,28,1
1,1,male,45,0
0,3,male,40,2
0,3,male,36,0
1,2,female,32,0
0,2,male,19,0
1,3,female,19,1
1,2,male,3,2
1,1,female,44,0
1,1,female,58,0
0,3,male,28,0
0,3,male,42,1
1,3,female,28,0
0,2,female,24,0
0,3,male,28,0
0,3,male,28,10
0,3,male,34,0
0,3,male,45.5,0
1,3,male,18,0
0,3,female,2,1
0,3,male,32,1
1,3,male,26,0
1,3,female,16,0
1,1,male,40,0
0,3,male,24,0
1,2,female,35,0
0,3,male,22,0
0,2,male,30,0
0,3,male,28,1
1,1,female,31,1
1,3,female,27,0
0,2,male,42,1
1,1,female,32,0
0,2,male,30,0
1,3,male,16,0
0,2,male,27,0
0,3,male,51,0
0,3,male,28,0
1,1,male,38,1
0,3,male,22,0
1,2,male,19,0
0,3,male,20.5,0
0,2,male,18,0
0,3,female,28,4
1,1,female,35,1
0,3,male,29,0
0,2,male,59,0
1,3,female,5,6
0,2,male,24,0
0,3,female,28,0
0,2,male,44,1
1,2,female,8,2
0,2,male,19,0
0,2,male,33,0
0,3,female,28,1
1,3,female,28,1
0,2,male,29,0
0,3,male,22,0
0,3,male,30,0
0,1,male,44,2
0,3,female,25,0
1,2,female,24,2
1,1,male,37,2
0,2,male,54,1
0,3,male,28,0
0,3,female,29,2
0,1,male,62,0
0,3,male,30,1
0,3,female,41,2
1,3,female,29,2
1,1,female,28,0
1,1,female,30,0
1,1,female,35,0
1,2,female,50,1
0,3,male,28,0
1,3,male,3,6
0,1,male,52,2
0,1,male,40,0
0,3,female,28,0
0,2,male,36,0
0,3,male,16,5
1,3,male,25,1
